id,name
1,Environment Elevation Origin [m]
2,Environment Wind speed HubHeight [m/s]
3,Environment Wind direction HubHeight [deg]
4,foundation_master X [m]
5,foundation_master Y [m]
6,foundation_master Z [m]
7,foundation_master Rotation 1 [deg]
8,foundation_master Rotation 2 [deg]
9,foundation_master Rotation 3 [deg]
10,MooringLine1 End GX force Anchor [kN]
11,MooringLine1 End GY force Anchor [kN]
12,MooringLine1 End GZ force Anchor [kN]
13,MooringLine2 End GX force Anchor [kN]
14,MooringLine2 End GY force Anchor [kN]
15,MooringLine2 End GZ force Anchor [kN]
16,MooringLine3 End GX force Anchor [kN]
17,MooringLine3 End GY force Anchor [kN]
18,MooringLine3 End GZ force Anchor [kN]
19,MooringLine4 End GX force Anchor [kN]
20,MooringLine4 End GY force Anchor [kN]
21,MooringLine4 End GZ force Anchor [kN]
22,MooringLine5 End GX force Anchor [kN]
23,MooringLine5 End GY force Anchor [kN]
24,MooringLine5 End GZ force Anchor [kN]
25,tower Effective tension Top [kN]
26,tower x shear force Top [kN]
27,tower y shear force Top [kN]
28,tower Torque Top [kN.m]
29,tower x bend moment Top [kN.m]
30,tower y bend moment Top [kN.m]
31,tower Effective tension Bottom [kN]
32,tower x shear force Bottom [kN]
33,tower y shear force Bottom [kN]
34,tower Torque Bottom [kN.m]
35,tower x bend moment Bottom [kN.m]
36,tower y bend moment Bottom [kN.m]
37,Nacelle Rotation 1 [deg]
38,Nacelle Rotation 2 [deg]
39,Nacelle Rotation 3 [deg]
40,Nacelle GX acceleration [m/s^2]
41,Nacelle GY acceleration [m/s^2]
42,Nacelle GZ acceleration [m/s^2]
43,Nacelle Acceleration rel. g [m/s^2]
44,Nacelle x acceleration rel. g [m/s^2]
45,Nacelle y acceleration rel. g [m/s^2]
46,Nacelle z acceleration rel. g [m/s^2]
47,foundation_origin x FloaterSurge [m]
48,foundation_origin y FloaterSway [m]
49,foundation_origin z FloaterHeave [m]
50,foundation_origin Rx FloaterRoll [deg]
51,foundation_origin Ry FloaterPitch [deg]
52,foundation_origin Rz FloaterYaw [deg]
53,foundation_origin x acceleration FloaterSurgeAcceleration [m/s^2]
54,foundation_origin y acceleration FloaterSwayAcceleration [m/s^2]
55,foundation_origin z acceleration FloaterHeaveAcceleration [m/s^2]
56,foundation_origin x angular acceleration FloaterRollAcceleration [rad/s^2]
57,foundation_origin y angular acceleration FloaterPitchAcceleration [rad/s^2]
58,foundation_origin z angular acceleration FloaterYawAcceleration [rad/s^2]
59,foundation_origin xy FloaterOffset [m]
60,foundation_origin Rxy FloaterTilt [deg]
61,CEN_E1 Effective tension ArcLength=0.00 [kN]
62,CEN_E1 x shear force ArcLength=0.00 [kN]
63,CEN_E1 y shear force ArcLength=0.00 [kN]
64,CEN_E1 Torque ArcLength=0.00 [kN.m]
65,CEN_E1 x bend moment ArcLength=0.00 [kN.m]
66,CEN_E1 y bend moment ArcLength=0.00 [kN.m]
